PostNumber,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName,PostLink
2,C0272285,Heparin-induced thrombocytopenia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0027792,Neural Pathways,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0863093,cold symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0272285,Heparin-induced thrombocytopenia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
3,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0241898,Generalized fatigue,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0085594,Fever with chills,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C1442877,Sore skin,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0234233,Sore to touch,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1293107,Expulsion (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0392970,Doxorubicin/Docetaxel Regimen,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0178784,Organ,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0015672,Fatigue,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1533734,Administration procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0178784,Organ,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1293132,Anchoring procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0204727,Isolation procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0227230,Body of stomach,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0239849,Harlequin Fetus,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1260880,Rhinorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0037383,Sneezing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0010200,Coughing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C2364082,Sense of smell impaired,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C3714552,Weakness,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0015967,Fever,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1260880,Rhinorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0037383,Sneezing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0010200,Coughing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0013404,Dyspnea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0041912,Upper Respiratory Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0041912,Upper Respiratory Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C1533734,Administration procedure,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0011847,Diabetes,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0011849,Diabetes Mellitus,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,,,,,C0016976,Gallbladder,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0030305,Pancreatitis,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0231807,Dyspnea on exertion,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0014518,Toxic Epidermal Necrolysis,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
5,,,C4551656,Surgical reduction,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C1293152,Reduction procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C3275067,Cardiac Lead Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0018520,Halitosis,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,C0973919,ALCOHOL/BENZOIC ACID/EUCALYPTOL/METHYL SALICYLATE/THYMOL LIQUID,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C2062441,Influenza A,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0227073,Mandibular right first molar,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C1318154,Root body part,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0040452,Tooth root structure,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0024109,Lung,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C0185125,Application procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C0392970,Doxorubicin/Docetaxel Regimen,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0018563,Hand,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
6,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,C0079613,Adoptive Immunotherapy,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,,,,,C0015392,Eye,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0085209,"Encephalopathy, Bovine Spongiform",,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,C0472888,McKeown esophagectomy,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0877046,Tooth Infection,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0027051,Myocardial Infarction,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0011334,Dental caries,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0026367,Molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0040426,Tooth structure,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0040426,Tooth structure,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0877046,Tooth Infection,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0184661,Interventional procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0011334,Dental caries,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0185115,Extraction,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C1550227,Body Parts - Canal,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0227093,Deciduous maxillary left first molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C3714552,Weakness,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0011331,Dental Procedures,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0744403,Gum Infection,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0030193,Pain,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0543467,Operative Surgical Procedures,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C1524020,Radiation Ionizing Radiotherapy,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C1522449,Therapeutic radiology procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0392970,Doxorubicin/Docetaxel Regimen,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0011331,Dental Procedures,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0011334,Dental caries,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
