,PostNumber,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName,PostLink,Author
99,4,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
100,4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
101,4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
102,4,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
103,4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
104,4,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
105,4,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
106,4,C0041912,Upper Respiratory Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
107,4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
108,4,C0041912,Upper Respiratory Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
109,4,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
110,4,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
111,4,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
112,4,,,C1533734,Administration procedure,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
113,4,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
114,4,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
115,4,C0011847,Diabetes,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
116,4,C0011849,Diabetes Mellitus,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
117,4,,,,,,,C0016976,Gallbladder,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
118,4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
119,4,C0030305,Pancreatitis,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
120,4,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
121,4,C0231807,Dyspnea on exertion,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
122,4,C0014518,Toxic Epidermal Necrolysis,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
123,5,,,C4551656,Surgical reduction,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
124,5,,,C1293152,Reduction procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
125,5,,,C3275067,Cardiac Lead Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
126,5,C0018520,Halitosis,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
127,5,,,,,C0973919,ALCOHOL/BENZOIC ACID/EUCALYPTOL/METHYL SALICYLATE/THYMOL LIQUID,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
128,5,C2062441,Influenza A,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
129,5,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
130,5,,,,,,,C0227073,Mandibular right first molar,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
131,5,,,,,,,C1318154,Root body part,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
132,5,,,,,,,C0040452,Tooth root structure,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
133,5,,,,,,,C0024109,Lung,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
134,5,,,C0185125,Application procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
135,5,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
136,5,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
137,5,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
138,5,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
139,5,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
140,5,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
141,5,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
142,5,,,C0392970,Doxorubicin/Docetaxel Regimen,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
143,5,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
144,5,,,,,,,C0018563,Hand,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
145,5,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,author_176
146,6,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
147,6,,,C0079613,Adoptive Immunotherapy,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
148,6,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
149,6,,,,,,,C0015392,Eye,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
150,6,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
151,6,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
152,6,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
153,6,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
154,6,C0085209,"Encephalopathy, Bovine Spongiform",,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
155,6,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
156,6,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
157,6,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
158,6,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
159,6,,,C0472888,McKeown esophagectomy,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
160,6,C0272238,Transient hypogammaglobulinemia of infancy,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
161,6,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,author_121
162,7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
163,7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
164,7,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
165,7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
166,7,C0877046,Tooth Infection,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
167,7,C0027051,Myocardial Infarction,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
168,7,C0011334,Dental caries,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
169,7,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
170,7,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
171,7,,,,,,,C0026367,Molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
172,7,,,,,,,C0040426,Tooth structure,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
173,7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
174,7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
175,7,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
176,7,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
177,7,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
178,7,,,,,,,C0040426,Tooth structure,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
179,7,C0877046,Tooth Infection,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
180,7,,,C0184661,Interventional procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
181,7,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
182,7,C0011334,Dental caries,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
183,7,,,C0185115,Extraction,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
184,7,,,,,,,C1550227,Body Parts - Canal,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
185,7,,,,,,,C0227093,Deciduous maxillary left first molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
186,7,C3714552,Weakness,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
187,7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
188,7,C0031090,Periodontal Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,author_99
